DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,6464.956,2025-03-06T08:00:25.553Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-19446,2025-03-06T08:00:25.553Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6466.057,2025-03-06T08:00:26.256Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-19215,2025-03-06T08:00:26.257Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6467.2583,2025-03-06T08:00:26.961Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18963,2025-03-06T08:00:26.961Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6468.3594,2025-03-06T08:00:27.713Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18732,2025-03-06T08:00:27.713Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6469.4604,2025-03-06T08:00:28.370Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18501,2025-03-06T08:00:28.370Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6470.5615,2025-03-06T08:00:29.074Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18270,2025-03-06T08:00:29.074Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6471.6626,2025-03-06T08:00:29.777Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18039,2025-03-06T08:00:29.777Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6472.864,2025-03-06T08:00:30.481Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-17787,2025-03-06T08:00:30.481Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,6473.965,2025-03-06T08:00:31.185Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-17556,2025-03-06T08:00:31.186Z
