DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,25007.797,2025-03-06T11:14:40.988Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21421,2025-03-06T11:14:40.988Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25008.893,2025-03-06T11:14:41.736Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21652,2025-03-06T11:14:41.737Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25010.088,2025-03-06T11:14:42.400Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21904,2025-03-06T11:14:42.401Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25011.184,2025-03-06T11:14:43.103Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22135,2025-03-06T11:14:43.103Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22366,2025-03-06T11:14:43.807Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25012.28,2025-03-06T11:14:43.807Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25013.475,2025-03-06T11:14:44.518Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22618,2025-03-06T11:14:44.518Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25014.57,2025-03-06T11:14:45.266Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22849,2025-03-06T11:14:45.267Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25015.666,2025-03-06T11:14:45.926Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,23080,2025-03-06T11:14:45.926Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,25016.762,2025-03-06T11:14:46.630Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,23311,2025-03-06T11:14:46.631Z
