DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,30564.805,2025-03-06T12:12:55.466Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,13321,2025-03-06T12:12:55.466Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30566,2025-03-06T12:12:56.227Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,13573,2025-03-06T12:12:56.228Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30567.096,2025-03-06T12:12:56.873Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,13804,2025-03-06T12:12:56.874Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30568.191,2025-03-06T12:12:57.578Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,14035,2025-03-06T12:12:57.578Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30569.287,2025-03-06T12:12:58.282Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,14266,2025-03-06T12:12:58.282Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30570.482,2025-03-06T12:12:58.985Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,14518,2025-03-06T12:12:58.986Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30571.578,2025-03-06T12:12:59.747Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,14749,2025-03-06T12:12:59.747Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30572.674,2025-03-06T12:13:00.393Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,14980,2025-03-06T12:13:00.394Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30573.77,2025-03-06T12:13:01.097Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,15211,2025-03-06T12:13:01.097Z
