DatapointId,Value,Timestamp
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25997,2025-03-06T12:20:44.526Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31310.879,2025-03-06T12:20:44.526Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31311.975,2025-03-06T12:20:45.231Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25766,2025-03-06T12:20:45.231Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25535,2025-03-06T12:20:45.935Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31313.07,2025-03-06T12:20:45.935Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31314.266,2025-03-06T12:20:46.682Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25283,2025-03-06T12:20:46.682Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31315.361,2025-03-06T12:20:47.344Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25052,2025-03-06T12:20:47.344Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24821,2025-03-06T12:20:48.101Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31316.457,2025-03-06T12:20:48.102Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31317.553,2025-03-06T12:20:48.756Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24590,2025-03-06T12:20:48.757Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31318.748,2025-03-06T12:20:49.460Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24338,2025-03-06T12:20:49.460Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,31319.844,2025-03-06T12:20:50.211Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24107,2025-03-06T12:20:50.211Z
