DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,29980.297,2025-03-06T12:06:47.950Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21165,2025-03-06T12:06:47.950Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29981.393,2025-03-06T12:06:48.654Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21396,2025-03-06T12:06:48.654Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29982.588,2025-03-06T12:06:49.361Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21648,2025-03-06T12:06:49.362Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29983.684,2025-03-06T12:06:50.066Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,21879,2025-03-06T12:06:50.067Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22110,2025-03-06T12:06:50.770Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29984.78,2025-03-06T12:06:50.770Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22341,2025-03-06T12:06:51.475Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29985.875,2025-03-06T12:06:51.475Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29987.07,2025-03-06T12:06:52.178Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22593,2025-03-06T12:06:52.178Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29988.166,2025-03-06T12:06:52.883Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,22824,2025-03-06T12:06:52.883Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29989.262,2025-03-06T12:06:53.586Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,23055,2025-03-06T12:06:53.586Z
