DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,9574.121,2025-03-06T08:32:56.112Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-21097,2025-03-06T08:32:56.112Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9575.217,2025-03-06T08:32:56.816Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-20866,2025-03-06T08:32:56.816Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9576.3125,2025-03-06T08:32:57.522Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-20635,2025-03-06T08:32:57.523Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9577.508,2025-03-06T08:32:58.226Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-20383,2025-03-06T08:32:58.226Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9578.604,2025-03-06T08:32:58.931Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-20152,2025-03-06T08:32:58.931Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9579.699,2025-03-06T08:32:59.686Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-19921,2025-03-06T08:32:59.686Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9580.895,2025-03-06T08:33:00.339Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-19669,2025-03-06T08:33:00.340Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9581.99,2025-03-06T08:33:01.043Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-19438,2025-03-06T08:33:01.043Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,9583.086,2025-03-06T08:33:01.748Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-19207,2025-03-06T08:33:01.748Z
