DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,29133.717,2025-03-06T11:57:55.570Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-26242,2025-03-06T11:57:55.570Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29134.812,2025-03-06T11:57:56.275Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-26011,2025-03-06T11:57:56.275Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29135.908,2025-03-06T11:57:56.978Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25780,2025-03-06T11:57:56.978Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29137.104,2025-03-06T11:57:57.682Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25528,2025-03-06T11:57:57.682Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29138.2,2025-03-06T11:57:58.385Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25297,2025-03-06T11:57:58.385Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29139.295,2025-03-06T11:57:59.088Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-25066,2025-03-06T11:57:59.088Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24835,2025-03-06T11:57:59.791Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29140.39,2025-03-06T11:57:59.792Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29141.586,2025-03-06T11:58:00.495Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24583,2025-03-06T11:58:00.495Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,29142.682,2025-03-06T11:58:01.198Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-24352,2025-03-06T11:58:01.198Z
