DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,15492.711,2025-03-06T09:34:56.848Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18503,2025-03-06T09:34:56.848Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15493.906,2025-03-06T09:34:57.552Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18251,2025-03-06T09:34:57.552Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15495.002,2025-03-06T09:34:58.256Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-18020,2025-03-06T09:34:58.256Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15496.098,2025-03-06T09:34:58.959Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-17789,2025-03-06T09:34:58.959Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15497.293,2025-03-06T09:34:59.667Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-17537,2025-03-06T09:34:59.667Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15498.389,2025-03-06T09:35:00.371Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-17306,2025-03-06T09:35:00.371Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15499.484,2025-03-06T09:35:01.075Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-17075,2025-03-06T09:35:01.075Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15500.58,2025-03-06T09:35:01.836Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-16844,2025-03-06T09:35:01.836Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,15501.775,2025-03-06T09:35:02.482Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-16592,2025-03-06T09:35:02.483Z
