DatapointId,Value,Timestamp
[88902] s_Demo_Dynamic_Scalar_Float_88902,30766.314,2025-03-06T12:15:02.155Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-9732,2025-03-06T12:15:02.155Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30767.41,2025-03-06T12:15:02.858Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-9501,2025-03-06T12:15:02.858Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30768.506,2025-03-06T12:15:03.562Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-9270,2025-03-06T12:15:03.562Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30769.602,2025-03-06T12:15:04.312Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-9039,2025-03-06T12:15:04.313Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30770.797,2025-03-06T12:15:04.969Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-8787,2025-03-06T12:15:04.969Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30771.893,2025-03-06T12:15:05.672Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-8556,2025-03-06T12:15:05.673Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30772.988,2025-03-06T12:15:06.377Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-8325,2025-03-06T12:15:06.377Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-8094,2025-03-06T12:15:07.080Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30774.084,2025-03-06T12:15:07.081Z
[88902] s_Demo_Dynamic_Scalar_Float_88902,30775.28,2025-03-06T12:15:07.809Z
[28704] s_Demo_Dynamic_Scalar_Int16_28704,-7842,2025-03-06T12:15:07.809Z
